n,factorization,num_factors,n_mod6,wing,num_left_factors
1177800481,11*13*19*41*97*109,6,1,right,2
1180398961,7*17*79*241*521,5,1,right,2
1183104001,17*53*101*13001,4,1,right,4
1189238401,13*43*73*151*193,5,1,right,0
1190790721,17*29*37*97*673,5,1,right,2
1193229577,379*757*4159,3,1,right,0
1194866101,11*13*47*139*1279,5,1,right,2
1198650961,181*541*12241,3,1,right,0
1200456577,97*2113*5857,3,1,right,0
1200778753,293*877*4673,3,1,right,2
1206057601,7*23*73*89*1153,5,1,right,2
1207252621,613*919*2143,3,1,right,0
1210178305,5*7*19*73*97*257,6,1,right,2
1213619761,433*1297*2161,3,1,right,0
1214703721,7*11*31*73*6971,5,1,right,2
1216631521,7*37*79*97*613,5,1,right,0
1223475841,7*61*97*109*271,5,1,right,0
1227220801,101*157*193*401,4,1,right,2
1227280681,11*271*541*761,4,1,right,2
1232469001,37*73*181*2521,4,1,right,0
1251295501,31*61*619*1069,4,1,right,0
1251992281,23*89*463*1321,4,1,right,2
1254318481,13*109*241*3673,4,1,right,0
1256855041,13*29*31*41*43*61,6,1,right,2
1257102001,337*1009*3697,3,1,right,0
1260332137,163*487*15877,3,1,right,0
1264145401,107*743*15901,3,1,right,2
1268604001,7*41*73*151*401,5,1,right,2
1269295201,349*1741*2089,3,1,right,0
1271325841,17*31*179*13477,4,1,right,2
1295577361,13*17*89*199*331,5,1,right,2
1299963601,601*1201*1801,3,1,right,0
1309440001,41*89*241*1489,4,1,right,2
1312114945,5*409*449*1429,4,1,right,2
1312332001,241*1361*4001,3,1,right,2
1316958721,13*43*89*103*257,5,1,right,2
1317828601,41*181*311*571,4,1,right,2
1318126321,281*1009*4649,3,1,right,2
1321983937,17*29*73*109*337,5,1,right,2
1330655041,23*41*67*21061,4,1,right,2
1332521065,5*283*659*1429,4,1,right,2
1337805505,5*109*1217*2017,4,1,right,2
1348964401,401*1201*2801,3,1,right,2
1349671681,37*109*379*883,4,1,right,0
1362132541,7*11*37*179*2671,5,1,right,2
1376844481,19*37*61*97*331,5,1,right,0
1378483393,7*67*97*157*193,5,1,right,0
1382114881,7*31*61*193*541,5,1,right,0
1384157161,31*37*61*73*271,5,1,right,0
1394746081,71*157*211*593,4,1,right,2
1394942473,73*127*379*397,4,1,right,0
1404111241,13*29*31*317*379,5,1,right,2
1404228421,19*31*211*11299,4,1,right,0
1407548341,487*1621*1783,3,1,right,0
1410833281,11*13*17*31*97*193,6,1,right,2
1419339691,7*11*19*103*9419,5,1,right,2
1420379065,5*7*53*619*1237,5,1,right,2
1422477001,11*41*1051*3001,4,1,right,2
1423668961,11*13*17*271*2161,5,1,right,2
1428966001,151*751*12601,3,1,right,0
1439328001,17*41*61*97*349,5,1,right,2
1439492041,13*19*109*127*421,5,1,right,0
1441316269,19*29*43*127*479,5,1,right,2
1442761201,7*241*601*1423,4,1,right,0
1445084173,13*37*379*7927,4,1,right,0
1452767521,17*61*241*5813,4,1,right,2
1481619601,7*11*19*37*101*271,6,1,right,2
1483199641,7*11*19*41*79*313,6,1,right,2
1490078305,5*17*53*353*937,5,1,right,4
1490522545,5*19*43*113*3229,5,1,right,2
1504651681,13*31*61*97*631,5,1,right,0
1505432881,31*43*883*1279,4,1,right,0
1507746241,89*617*27457,3,1,right,2
1515785041,331*991*4621,3,1,right,0
1520467201,11*71*1201*1621,4,1,right,2
1521835381,11*19*61*79*1511,5,1,right,2
1528936501,131*1301*8971,3,1,right,2
1529544961,7*17*37*311*1117,5,1,right,2
1534274841,3*11*29*479*3347,5,3,div3,4
1540454761,541*811*3511,3,1,right,0
1545387481,11*61*131*17581,4,1,right,2
1571503801,7*31*41*173*1021,5,1,right,2
1573132561,7*11*13*241*6521,5,1,right,2
1574601601,61*1301*19841,3,1,right,2
1576826161,53*239*281*443,4,1,right,4
1583582113,17*19*43*113*1009,5,1,right,2
1588247851,211*1831*4111,3,1,right,0
1592668441,7*13*37*199*2377,5,1,right,0
1597009393,7*17*23*73*7993,5,1,right,2
1597821121,13*181*673*1009,4,1,right,0
1615335085,5*7*13*37*229*419,6,1,right,2
1618206745,5*23*43*229*1429,5,1,right,2
1626167341,31*61*379*2269,4,1,right,0
1632785701,547*1093*2731,3,1,right,0
1641323905,5*13*17*97*15313,5,1,right,2
1646426881,11*71*97*103*211,5,1,right,2
1648076041,277*829*7177,3,1,right,0
1657700353,19*43*193*10513,4,1,right,0
1659935761,11*113*967*1381,4,1,right,2
1672719217,13*29*1553*2857,4,1,right,2
1674309385,5*7*37*73*89*199,6,1,right,2
1676203201,31*61*211*4201,4,1,right,0
1676641681,11*13*19*43*113*127,6,1,right,2
1678569121,31*37*383*3821,4,1,right,2
1685266561,11*457*523*641,4,1,right,2
1688214529,17*43*1153*2003,4,1,right,2
1688639041,19*37*241*9967,4,1,right,0
1689411601,17*37*41*109*601,5,1,right,2
1690230241,7*173*811*1721,4,1,right,2
1696572001,17*97*251*4099,4,1,right,2
1698623641,11*13*29*31*73*181,6,1,right,2
1699279441,191*571*15581,3,1,right,2
1701016801,11*211*241*3041,4,1,right,2
1705470481,11*13*17*41*71*241,6,1,right,4
1708549501,211*1741*4651,3,1,right,0
1726372441,307*1531*3673,3,1,right,0
1746692641,113*827*18691,3,1,right,2
1750412161,241*2161*3361,3,1,right,0
1752710401,13*43*631*4969,4,1,right,0
1760460481,13*37*73*181*277,5,1,right,0
1769031901,7*13*37*103*5101,5,1,right,0
1772267281,71*211*281*421,4,1,right,2
1773486001,7*23*61*89*2029,5,1,right,2
1776450565,5*317*523*2143,4,1,right,2
1778382541,13*37*67*139*397,5,1,right,0
1784291041,13*97*421*3361,4,1,right,0
1784975941,7*37*541*12739,4,1,right,0
1785507361,11*43*71*79*673,5,1,right,2
1795216501,13*19*127*151*379,5,1,right,0
1801558201,61*157*313*601,4,1,right,0
1803278401,31*43*61*67*331,5,1,right,0
1817067169,109*1297*12853,3,1,right,0
1825568641,13*31*37*191*641,5,1,right,2
1828377001,11*41*1801*2251,4,1,right,2
1831048561,23*41*67*73*397,5,1,right,2
1833328621,103*3877*4591,3,1,right,0
1836304561,7*13*31*37*73*241,6,1,right,0
1841034961,61*73*109*3793,4,1,right,0
1845871105,5*13*43*67*9857,5,1,right,2
1846817281,31*71*353*2377,4,1,right,2
1848112761,3*11*41*131*10427,5,3,div3,4
1848681121,7*353*599*1249,4,1,right,2
1849811041,13*23*37*271*617,5,1,right,2
1854001513,7*13*19*37*73*397,6,1,right,0
1855100017,19*73*379*3529,4,1,right,0
1858395529,19*73*199*6733,4,1,right,0
1879480513,19*193*547*937,4,1,right,0
1887933601,41*97*113*4201,4,1,right,2
1894344001,11*31*1021*5441,4,1,right,2
1896961801,7*41*607*10889,4,1,right,2
1899525601,211*2521*3571,3,1,right,0
1913016001,13*17*29*421*709,5,1,right,2
1916729101,7*19*31*397*1171,5,1,right,0
1918052065,5*37*1657*6257,4,1,right,2
1919767681,13*37*241*16561,4,1,right,0
1932608161,11*17*19*37*61*241,6,1,right,2
1942608529,29*197*337*1009,4,1,right,2
1943951041,181*2953*3637,3,1,right,0
1949646601,7*19*67*331*661,5,1,right,0
1950276565,5*19*59*349*997,5,1,right,2
1954174465,5*353*433*2557,4,1,right,2
1955324449,13*29*67*199*389,5,1,right,2
1958102641,11*37*41*271*433,5,1,right,2
1962804565,5*103*149*25579,4,1,right,2
1976295241,19*109*691*1381,4,1,right,0
1984089601,13*17*181*193*257,5,1,right,2
1988071801,61*137*233*1021,4,1,right,2
1992841201,13*17*19*37*101*127,6,1,right,2
1999004365,5*29*37*239*1559,5,1,right,4
2000436751,487*1531*2683,3,1,right,0
2023528501,139*151*229*421,4,1,right,0
2029554241,11*13*29*61*71*113,6,1,right,4
2048443501,13*61*151*17107,4,1,right,0
2048751901,7*31*37*109*2341,5,1,right,0
2049293401,211*1051*9241,3,1,right,0
2064236401,31*37*61*163*181,5,1,right,0
2064373921,19*409*421*631,4,1,right,0
2067887557,367*733*7687,3,1,right,0
2073560401,11*37*73*101*691,5,1,right,2
2080544005,5*23*199*229*397,5,1,right,2
2097317377,353*1153*5153,3,1,right,2
2101170097,13*17*37*293*877,5,1,right,2
2105594401,41*61*701*1201,4,1,right,2
2107535221,11*43*103*181*239,5,1,right,2
2111416021,11*13*19*29*127*211,6,1,right,2
2111488561,7*13*41*433*1307,5,1,right,2
2117725921,17*19*1979*3313,4,1,right,2
2126689501,53*131*157*1951,4,1,right,2
2140538401,23*29*53*151*401,5,1,right,4
2140699681,127*631*26713,3,1,right,0
2159003281,17*29*1481*2957,4,1,right,4
2170282969,373*1117*5209,3,1,right,0
2176838049,3*17*29*317*4643,5,3,div3,4
2178944461,31*43*61*127*211,5,1,right,0
2199700321,7*13*61*223*1777,5,1,right,0
2199931651,379*631*9199,3,1,right,0
2201169601,31*113*401*1567,4,1,right,2
2212935985,5*13*17*19*109*967,6,1,right,2
2215407601,11*43*113*181*229,5,1,right,2
2216430721,37*193*211*1471,4,1,right,0
2217951073,13*19*2593*3463,4,1,right,0
2223876601,23*37*1451*1801,4,1,right,2
2224519921,13*17*113*281*317,5,1,right,4
2230305949,499*997*4483,3,1,right,0
2232385345,5*17*29*449*2017,5,1,right,4
2239622113,53*79*157*3407,4,1,right,2
2244932281,73*109*307*919,4,1,right,0
2246916001,11*211*701*1381,4,1,right,2
2258118721,17*193*521*1321,4,1,right,2
2265650401,7*17*79*401*601,5,1,right,2
2272748401,7*11*181*313*521,5,1,right,2
2278677961,7*19*103*181*919,5,1,right,0
2295209281,313*1093*6709,3,1,right,0
2301745249,727*1453*2179,3,1,right,0
2302419601,19*157*691*1117,4,1,right,0
2309027281,11*31*71*283*337,5,1,right,2
2313774001,7*11*17*19*31*3001,6,1,right,2
2320224481,17*31*41*73*1471,5,1,right,2
2320690177,13*43*97*127*337,5,1,right,0
2322648901,19*79*661*2341,4,1,right,0
2323147201,277*1381*6073,3,1,right,0
2332627249,47*139*277*1289,4,1,right,2
2335640077,29*197*463*883,4,1,right,2
2339165521,7*11*233*241*541,5,1,right,2
2342644921,23*31*41*127*631,5,1,right,2
2353639681,17*29*1381*3457,4,1,right,2
2359686241,11*17*31*61*6673,5,1,right,2
2361232477,307*613*12547,3,1,right,0
2367379201,11*31*1361*5101,4,1,right,2
2377166401,61*101*241*1601,4,1,right,2
2391137281,13*421*433*1009,4,1,right,0
2396357041,13*67*281*9791,4,1,right,2
2407376665,5*19*67*613*617,5,1,right,2
2414829781,7*13*181*271*541,5,1,right,0
2430556381,11*29*37*43*4789,5,1,right,2
2436691321,227*1583*6781,3,1,right,2
2438403661,739*821*4019,3,1,right,2
2443829641,11*41*61*211*421,5,1,right,2
2444950561,349*929*7541,3,1,right,2
2456536681,271*1171*7741,3,1,right,0
2457411265,5*19*127*353*577,5,1,right,2
2467813621,7*13*31*61*14341,5,1,right,0
2470348441,11*19*29*41*9941,5,1,right,4
2470894273,19*67*89*113*193,5,1,right,2
2479305985,5*13*193*257*769,5,1,right,2
2480343553,193*577*22273,3,1,right,0
2489462641,41*1721*35281,3,1,right,2
2494465921,47*191*241*1153,4,1,right,2
2494621585,5*37*47*379*757,5,1,right,2
2497638781,11*71*1171*2731,4,1,right,2
2509860961,41*73*137*6121,4,1,right,2
2510085721,11*13*2131*8237,4,1,right,2
2519819281,7*67*829*6481,4,1,right,0
2523947041,7*11*17*61*73*433,6,1,right,2
2527812001,11*13*61*197*1471,5,1,right,2
2529410281,223*2221*5107,3,1,right,0
2539024741,11*43*47*181*631,5,1,right,2
2544590161,113*127*281*631,4,1,right,2
2547621973,13*19*2143*4813,4,1,right,0
2560104001,7*13*17*41*181*223,6,1,right,2
2560600351,239*1667*6427,3,1,right,2
2561945401,421*701*8681,3,1,right,2
2564889601,29*281*449*701,4,1,right,4
2573686441,37*61*103*11071,4,1,right,0
2574243721,7*47*139*181*311,5,1,right,2
2575260241,31*61*71*19181,4,1,right,2
2586927553,7*17*23*67*14107,5,1,right,2
2588653081,7*19*541*35977,4,1,right,0
2597928961,41*257*373*661,4,1,right,2
2598933481,443*1327*4421,3,1,right,2
2601144001,31*71*101*11701,4,1,right,2
2602378721,149*593*29453,3,5,left,3
2605557781,31*43*127*15391,4,1,right,0
2607162961,13*31*2011*3217,4,1,right,0
2607237361,19*31*43*113*911,5,1,right,2
2616662881,7*19*73*181*1489,5,1,right,0
2617181281,11*13*103*137*1297,5,1,right,2
2630374741,211*421*29611,3,1,right,0
2642025673,7*53*67*157*677,5,1,right,2
2657502001,7*11*31*73*101*151,6,1,right,2
2665141921,13*181*337*3361,4,1,right,0
2677147201,157*1093*15601,3,1,right,0
2685422593,7*37*97*139*769,5,1,right,0
2690867401,191*1901*7411,3,1,right,2
2693939401,31*37*61*139*277,5,1,right,0
2702470861,37*61*283*4231,4,1,right,0
2709611521,17*59*61*67*661,5,1,right,2
2723859001,73*101*571*647,4,1,right,2
2733494401,11*101*1051*2341,4,1,right,2
2735309521,7*19*31*307*2161,5,1,right,0
2766172501,31*181*421*1171,4,1,right,0
2766901501,7*13*61*151*3301,5,1,right,0
2770560241,31*191*293*1597,4,1,right,2
2776874941,31*43*271*7687,4,1,right,0
2787998641,337*953*8681,3,1,right,2
2797002901,7*11*19*37*163*317,6,1,right,2
2801124001,13*19*47*101*2389,5,1,right,2
2806205689,7*23*37*67*79*89,6,1,right,2
2811315361,29*43*71*113*281,5,1,right,4
2815304401,7*13*31*41*101*241,6,1,right,2
2832480001,13*421*673*769,4,1,right,0
2833846561,7*13*19*61*97*277,6,1,right,0
2842912381,31*61*421*3571,4,1,right,0
2858298301,31*131*541*1301,4,1,right,2
2867755969,13*433*673*757,4,1,right,0
2942952481,7*31*433*31321,4,1,right,0
2943556201,37*163*271*1801,4,1,right,0
2965085641,7*19*23*89*10891,5,1,right,2
2998467901,11*13*31*37*101*181,6,1,right,2
3001561441,293*877*11681,3,1,right,2
3007991701,11*13*37*701*811,5,1,right,2
3022354401,3*11*17*41*101*1301,6,3,div3,5
3024774901,19*37*271*15877,4,1,right,0
3025708561,19*211*757*997,4,1,right,0
3030758401,11*241*401*2851,4,1,right,2
3034203361,7*83*821*6361,4,1,right,2
3035837161,7*31*37*181*2089,5,1,right,0
3044238121,19*199*271*2971,4,1,right,0
3044970001,19*41*61*139*461,5,1,right,2
3068534701,421*631*11551,3,1,right,0
3069196417,7*89*683*7213,4,1,right,2
3072080089,13*43*109*127*397,5,1,right,0
3072094201,11*37*491*15373,4,1,right,2
3077802001,19*79*1051*1951,4,1,right,0
3078386641,11*41*43*181*877,5,1,right,2
3086434561,7*23*97*257*769,5,1,right,2
3088134721,7*23*67*353*811,5,1,right,2
3090578401,29*41*97*127*211,5,1,right,2
3102234751,7*11*151*251*1063,5,1,right,2
3104207821,11*13*19*29*39397,5,1,right,2
3105567361,13*17*37*113*3361,5,1,right,2
3112974481,71*281*337*463,4,1,right,2
3119101921,13*19*23*31*89*199,6,1,right,2
3138302401,13*41*97*101*601,5,1,right,2
3159422785,5*37*1289*13249,4,1,right,2
3159939601,7*13*37*613*1531,5,1,right,0
3164207761,11*13*43*109*4721,5,1,right,2
3180288385,5*43*79*113*1657,5,1,right,2
3180632833,7*17*47*277*2053,5,1,right,2
3188744065,5*13*19*67*89*433,6,1,right,2
3190894201,11*31*61*131*1171,5,1,right,2
3193414093,23*37*109*173*199,5,1,right,2
3203895601,31*37*433*6451,4,1,right,0
3215031751,151*751*28351,3,1,right,0
3222053185,5*13*113*449*977,5,1,right,4
3232450585,5*7*13*73*307*317,6,1,right,2
3240392401,29*37*41*73*1009,5,1,right,2
3245477761,19*31*43*127*1009,5,1,right,0
3246238801,13*29*113*181*421,5,1,right,2
3248891101,43*197*421*911,4,1,right,2
3249390145,5*113*1697*3389,4,1,right,4
3263564305,5*53*67*397*463,5,1,right,2
3264820001,251*3251*4001,3,5,left,3
3270933121,337*449*21617,3,1,right,2
3277595665,5*17*19*43*109*433,6,1,right,2
3281736601,11*13*19*31*47*829,6,1,right,2
3284630713,7*13*23*59*67*397,6,1,right,2
3307322305,5*7*19*73*193*353,6,1,right,2
3313196881,619*1237*4327,3,1,right,0
3313744561,43*181*541*787,4,1,right,0
3314111761,31*61*811*2161,4,1,right,0
3319323601,11*61*601*8231,4,1,right,2
3328437481,31*103*457*2281,4,1,right,0
3345878017,19*163*937*1153,4,1,right,0
3347570941,11*13*43*499*1091,5,1,right,2
3348463105,5*13*29*43*109*379,6,1,right,2
3353809537,13*37*2593*2689,4,1,right,0
3378014641,37*41*71*79*397,5,1,right,2
3380740301,191*1901*9311,3,5,left,3
3411338491,11*71*127*163*211,5,1,right,2
3413656441,13*61*73*109*541,5,1,right,0
3429457921,337*673*15121,3,1,right,0
3438721441,19*181*991*1009,4,1,right,0
3441837421,11*29*37*163*1789,5,1,right,2
3480174001,227*2713*5651,3,1,right,2
3504570301,397*1783*4951,3,1,right,0
3508507801,31*41*101*151*181,5,1,right,2
3521441665,5*7*19*1993*2657,5,1,right,2
3534510001,11*17*41*43*71*151,6,1,right,4
3555636481,31*41*541*5171,4,1,right,2
3574014445,5*37*43*83*5413,5,1,right,2
3575798785,5*13*17*73*97*457,6,1,right,2
3576804001,29*89*101*13721,4,1,right,4
3600918181,7*31*37*541*829,5,1,right,0
3618244081,19*31*67*277*331,5,1,right,0
3630291841,11*61*71*181*421,5,1,right,2
3637405045,5*43*157*197*547,5,1,right,2
3682471321,331*661*16831,3,1,right,0
3697952401,11*13*41*151*4177,5,1,right,2
3711456001,11*61*97*127*449,5,1,right,2
3712280041,37*277*281*1289,4,1,right,2
3713287801,571*2281*2851,3,1,right,0
3715938721,11*31*79*271*509,5,1,right,2
3722793481,11*19*29*41*71*211,6,1,right,4
3727589761,7*31*3457*4969,4,1,right,0
3754483201,7*17*19*41*101*401,6,1,right,4
3767865601,17*41*233*23201,4,1,right,4
3776698801,17*293*421*1801,4,1,right,2
3787491457,449*2689*3137,3,1,right,2
3799111681,313*521*23297,3,1,right,2
3800513761,11*17*571*35593,4,1,right,2
3801823441,13*17*41*241*1741,5,1,right,2
3805181281,11*17*19*61*97*181,6,1,right,2
3832646221,37*163*181*3511,4,1,right,0
3834444901,7*31*53*101*3301,5,1,right,2
3835537861,727*1453*3631,3,1,right,0
3858853681,17*23*31*241*1321,5,1,right,2
3863326897,199*937*20719,3,1,right,0
3880251649,17*19*29*379*1093,5,1,right,2
3891338101,7*131*151*157*179,5,1,right,2
3892568065,5*29*113*353*673,5,1,right,4
3901730401,17*31*37*401*499,5,1,right,2
3907357441,13*41*769*9533,4,1,right,2
3922752121,31*41*421*7331,4,1,right,2
3928256641,23*281*397*1531,4,1,right,2
3951813601,37*151*673*1051,4,1,right,0
3981047941,13*19*61*163*1621,5,1,right,0
3998554561,31*41*199*15809,4,1,right,2
4015029061,19*109*181*10711,4,1,right,0
4030864201,7*13*41*61*89*199,6,1,right,2
4034969401,661*1321*4621,3,1,right,0
4059151489,17*29*37*193*1153,5,1,right,2
4065133501,11*13*37*251*3061,5,1,right,2
4077957961,7*11*31*47*163*223,6,1,right,2
4115677501,13*331*661*1447,4,1,right,0
4127050621,293*877*16061,3,1,right,2
4134273793,13*67*727*6529,4,1,right,0
4138747921,7*11*73*541*1361,5,1,right,2
4146685921,7*41*53*131*2081,5,1,right,4
4160472121,13*61*109*127*379,5,1,right,0
4162880401,61*211*281*1151,4,1,right,2
4167038161,11*13*37*61*12911,5,1,right,2
4169092201,53*79*911*1093,4,1,right,2
4169867689,13*29*383*28879,4,1,right,2
4189909501,31*61*211*10501,4,1,right,0
4199202001,29*41*109*32401,4,1,right,2
4199529601,17*101*181*13513,4,1,right,2
4199932801,29*499*503*577,4,1,right,2
4202009461,13*61*991*5347,4,1,right,0
4210922233,7*37*1033*15739,4,1,right,0
4212413569,7*13*1747*26497,4,1,right,0
4215885697,577*1153*6337,3,1,right,0
4216799521,11*31*61*73*2777,5,1,right,2
4277982241,13*29*71*181*883,5,1,right,2
4295605861,19*31*59*71*1741,5,1,right,2
4298051521,61*181*193*2017,4,1,right,0
4312677601,353*617*19801,3,1,right,2
4314912001,17*29*101*193*449,5,1,right,4
4332717649,13*19*37*127*3733,5,1,right,0
4340265931,19*43*107*131*379,5,1,right,2
4340577781,37*67*421*4159,4,1,right,0
4351059901,31*101*613*2267,4,1,right,2
4354716961,7*37*73*139*1657,5,1,right,0
4375257601,11*13*83*449*821,5,1,right,4
4382684065,5*17*67*439*1753,5,1,right,2
4394741401,19*61*73*127*409,5,1,right,0
4409089201,11*37*41*163*1621,5,1,right,2
4411923265,5*29*73*97*4297,5,1,right,2
4421207701,71*211*421*701,4,1,right,2
4430880181,7*13*181*367*733,5,1,right,0
4434751441,277*1381*11593,3,1,right,0
4451834413,13*37*367*25219,4,1,right,0
4461725581,79*2237*25247,3,1,right,2
4464573049,443*2029*4967,3,1,right,2
4470451441,31*41*43*157*521,5,1,right,2
4477793761,7*17*37*683*1489,5,1,right,2
4485538201,47*139*151*4547,4,1,right,2
4488579361,7*19*137*181*1361,5,1,right,2
4511568601,19*31*61*199*631,5,1,right,0
4521794641,7*13*23*61*107*331,6,1,right,2
4523928001,97*1201*38833,3,1,right,0
4531599073,29*463*547*617,4,1,right,2
4541678401,13*17*1181*17401,4,1,right,2
4556475001,13*37*421*22501,4,1,right,0
4558134673,17*37*53*73*1873,5,1,right,2
4562359201,673*2017*3361,3,1,right,0
4579461601,11*13*29*43*61*421,6,1,right,2
4595126401,17*61*73*101*601,5,1,right,2
4627410481,127*199*277*661,4,1,right,0
4633043185,5*73*89*127*1123,5,1,right,2
4645929421,7*31*199*271*397,5,1,right,0
4648742641,37*181*373*1861,4,1,right,0
4652507881,7*61*2131*5113,4,1,right,0
4659532801,7*11*193*241*1301,5,1,right,2
4675440001,29*139*251*4621,4,1,right,2
4684846321,19*71*73*113*421,5,1,right,2
4686314401,17*433*461*1381,4,1,right,2
4701113761,31*43*421*8377,4,1,right,0
4703523553,433*937*11593,3,1,right,0
4746768481,7*13*41*191*6661,5,1,right,2
4752717761,11*17*107*173*1373,5,5,left,5
4765950001,179*3739*7121,3,1,right,2
4776665257,7*13*37*199*7129,5,1,right,0
4828075561,43*127*331*2671,4,1,right,0
4849541761,31*191*673*1217,4,1,right,2
4851619201,11*13*19*61*73*401,6,1,right,2
4852062061,7*11*31*47*61*709,6,1,right,2
4852794241,433*1297*8641,3,1,right,0
4862975041,89*281*337*577,4,1,right,2
4885398001,11*17*43*241*2521,5,1,right,2
4897161361,547*1093*8191,3,1,right,0
4898428705,5*17*37*97*16057,5,1,right,2
4911716881,71*197*433*811,4,1,right,2
4919641441,11*13*17*31*97*673,6,1,right,2
4922043841,11*13*19*389*4657,5,1,right,2
4922275501,11*13*37*61*101*151,6,1,right,2
4949879221,7*19*61*79*7723,5,1,right,0
4953963781,13*37*61*109*1549,5,1,right,0
4958432641,19*37*43*61*2689,5,1,right,0
4964831521,13*17*67*331*1013,5,1,right,2
5004866881,7*157*1171*3889,4,1,right,0
5006730001,7*13*61*751*1201,5,1,right,0
5024705401,19*31*67*157*811,5,1,right,0
5057840833,17*97*353*8689,4,1,right,2
5061753061,29*211*599*1381,4,1,right,2
5064928705,5*19*37*73*19739,5,1,right,2
5070542401,97*103*151*3361,4,1,right,0
5082192721,17*89*397*8461,4,1,right,2
5088633265,5*73*677*20593,4,1,right,2
5106068065,5*7*17*433*19819,5,1,right,2
5116240801,7*41*67*109*2441,5,1,right,2
5118204001,211*241*251*401,4,1,right,2
5120093089,23*199*353*3169,4,1,right,2
5135254201,7*11*101*163*4051,5,1,right,2
5149529281,13*73*421*12889,4,1,right,0
5157654481,7*19*23*31*137*397,6,1,right,2
5165559169,43*113*617*1723,4,1,right,2
5165622721,7*31*3673*6481,4,1,right,0
5166262465,5*7*13*67*137*1237,6,1,right,2
5178620161,11*13*29*43*113*257,6,1,right,4
5202540001,31*61*97*113*251,5,1,right,2
5204110465,5*17*29*673*3137,5,1,right,4
5242302241,11*61*97*239*337,5,1,right,2
5244163561,7*13*73*487*1621,5,1,right,0
5255104513,827*2243*2833,3,1,right,2
5257802341,11*19*29*61*14221,5,1,right,2
5260973761,31*43*1777*2221,4,1,right,0
5278692481,761*2281*3041,3,1,right,2
5292011089,29*157*337*3449,4,1,right,2
5296804801,17*31*41*43*5701,5,1,right,2
5305316401,7*11*19*41*241*367,6,1,right,2
5324678401,7*233*257*12703,4,1,right,2
5345340001,23*29*2003*4001,4,1,right,4
5354092801,31*73*97*24391,4,1,right,0
5356860481,7*31*37*109*6121,5,1,right,0
5368969165,5*7*53*79*36637,5,1,right,2
5375393101,13*397*991*1051,4,1,right,0
5383886761,11*37*71*211*883,5,1,right,2
5385832561,181*3061*9721,3,1,right,0
5394826801,7*13*17*23*31*67*73,7,1,right,2
5431965841,19*43*109*181*337,5,1,right,0
5442435649,7*73*2287*4657,4,1,right,0
5444826481,241*433*52177,3,1,right,0
5447713921,13*23*67*193*1409,5,1,right,2
5459242465,5*47*79*157*1873,5,1,right,2
5487578041,11*29*2767*6217,4,1,right,2
5497171681,97*113*241*2081,4,1,right,2
5507520481,17*19*31*61*71*127,6,1,right,2
5511402001,7*53*131*151*751,5,1,right,2
5561047801,23*29*73*181*631,5,1,right,2
5569591105,5*13*23*97*193*199,6,1,right,2
5599487881,13*29*2633*5641,4,1,right,2
5615659951,11*31*151*191*571,5,1,right,2
5646993409,113*257*337*577,4,1,right,2
5673520945,5*53*73*313*937,5,1,right,2
5675884201,13*43*71*83*1723,5,1,right,2
5681956501,13*23*151*317*397,5,1,right,2
5685601141,11*181*797*3583,4,1,right,2
5748693121,577*1153*8641,3,1,right,0
5755495201,101*1301*43801,3,1,right,2
5768821345,5*7*79*97*137*157,6,1,right,2
5781188161,7*23*1889*19009,4,1,right,2
5781222721,1033*1549*3613,3,1,right,0
5782114801,29*37*127*151*281,5,1,right,2
5803377841,19*41*79*181*521,5,1,right,2
5810534353,13*37*73*127*1303,5,1,right,0
5814422461,37*43*61*181*331,5,1,right,0
5816382001,521*1301*8581,3,1,right,2
5828853661,47*139*277*3221,4,1,right,2
5855149801,19*263*1049*1117,4,1,right,2
5860426881,3*17*41*419*6689,5,3,div3,4
5865103621,13*31*2011*7237,4,1,right,0
5871134179,487*1459*8263,3,1,right,0
5883081751,131*1171*38351,3,1,right,2
5911804081,61*181*277*1933,4,1,right,0
5913061441,7*53*79*229*881,5,1,right,2
5947687201,17*43*211*38561,4,1,right,2
5955901057,17*113*1153*2689,4,1,right,2
5958008785,5*17*127*547*1009,5,1,right,2
5959748521,661*2131*4231,3,1,right,0
5961977281,13*71*127*181*281,5,1,right,2
5967642241,11*241*281*8011,4,1,right,2
5985964801,19*151*271*7699,4,1,right,0
5990940901,11*19*29*43*127*181,6,1,right,2
6004532941,11*31*3571*4931,4,1,right,2
6010672801,7*31*4561*6073,4,1,right,0
6013876141,7*13*37*103*17341,5,1,right,0
6025532241,3*17*41*521*5531,5,3,div3,4
6030849889,29*43*113*127*337,5,1,right,2
6047866621,271*4591*4861,3,1,right,0
6053762881,19*37*109*199*397,5,1,right,0
6074311321,13*67*89*127*617,5,1,right,2
6096280321,19*37*53*131*1249,5,1,right,2
6097778961,3*131*281*55217,4,3,div3,3
6108975601,61*211*521*911,4,1,right,2
6129804241,11*43*71*349*523,5,1,right,2
6132351841,7*11*229*457*761,5,1,right,2
6132428401,11*31*71*241*1051,5,1,right,2
6138603289,7*13*37*439*4153,5,1,right,0
6144346369,7*19*97*173*2753,5,1,right,2
6150705793,23*67*617*6469,4,1,right,2
6155121421,19*37*71*127*971,5,1,right,2
6167728801,13*37*97*163*811,5,1,right,0
6178156501,11*31*461*39301,4,1,right,2
6183443281,47*113*241*4831,4,1,right,2
6184062001,13*17*31*401*2251,5,1,right,2
